District,Character Certificate,Across District Character Certificate,General Police Verification,Employee Registration (ROPE),Tenant Registration,Vehicle Verification,Medico Legal Certificate,Loss Report,Crime Report,Women Violence Report,Copy of FIR,Total Learner Issued,Total Renewal of Learner Issued ,Total Renewal of Regular License Issued ,Total Renewal of Regular License Across District Issued ,Total Regular License Issued ,Total International Licenses Issued,Total
Bahawalpur,4798,108,7022,4,13617,9,794,3257,68,8,223,62340,15785,17263,382,0,104,125782
Bahawalnagar,2793,97,2375,1,3459,1,1480,316,3,1,527,24439,7824,2503,153,0,7,45979
RY Khan,6149,133,27007,0,200,20,1683,623,0,0,915,71420,32205,15901,130,0,114,156500
DG Khan,4297,57,5733,8,676,358,781,1243,19,0,413,4473,1378,1,0,0,0,19437
Rajanpur,1636,39,5230,0,376,0,451,430,0,0,12,4337,296,263,14,0,0,13084
Layyah,1645,56,3477,0,1,7,477,13,0,0,6,35072,13174,6256,170,0,15,60369
Muzaffargarh,3400,90,10759,0,131,475,457,335,1,3,120,14054,1223,1293,38,0,2,32381
Faisalabad,21417,400,2787,0,23,13313,8368,84,0,3,270,31409,8607,293,3,0,17,86994
Jhang,3086,89,1164,1,1911,70,1492,29,0,0,243,41029,16413,8338,219,11396,77,85557
TT Singh,6251,115,1367,0,371,139,2150,177,0,1,983,36303,14205,11398,307,0,77,73844
Chiniot,2911,43,1203,0,1575,224,3022,123,2,0,101,29362,6461,3495,178,9155,114,57969
Gujranwala,25172,535,2449,0,33,158,4205,14,0,0,147,17453,5627,0,1114,0,28,56935
Gujrat,32041,357,2167,2,226,17,2437,93,9,0,225,63185,27911,42,280,0,13,129005
Hafizabad,3216,89,709,0,29,79,1171,416,0,0,31,20991,6096,4766,125,4669,50,42437
Narowal,4836,176,896,11,87,22,776,109,1,0,46,7150,225,160,127,0,0,14622
Mandi Bahauddin,12259,255,913,4,171,80,371,11,2,1,70,11862,5973,1030,39,0,9,33050
Sialkot,26704,415,1973,5,56,166,3810,783,0,0,168,75330,28083,24782,402,13949,999,177625
Lahore,68368,412,3487,8,7,3,3450,225,2,1,87,44877,29143,32574,2448,0,2007,187099
Multan,11185,203,36810,1,86,11104,1249,736,18,9,231,41575,16110,3068,441,2,43,122871
Vehari,4755,141,3077,5,13,3992,702,21,1,1,560,45610,21503,9935,312,0,112,90740
Khanewal,4078,102,6000,1,401,1162,762,415,0,0,106,54515,25749,10698,324,9682,82,114077
Lodhran,1953,54,1915,0,2,417,591,17,3,0,1,76670,11986,5151,200,8261,21,107242
Rawalpindi,24487,351,4120,17,43,9661,843,106,0,0,51,18686,8471,1875,107,0,99,68917
Jhelum,10686,154,1236,23,2174,46,541,1476,4,1,91,31493,17656,8425,142,0,215,74363
Attock,9441,35,1139,1,1218,694,503,6,0,0,29,29293,17230,7886,217,0,33,67725
Chakwal,6153,55,687,3,757,33,659,305,3,0,15,29221,7812,1803,95,0,10,47611
Sahiwal,4215,162,17302,5,22,60,1232,151,0,8,94,41339,6795,3087,357,0,94,74923
Okara,3994,106,7772,0,4440,6,1402,1965,22,0,26,60180,19207,9115,384,18267,76,126962
Pakpattan,1947,76,2880,0,17,0,1415,84,11,2,379,13710,2578,1881,150,1789,17,26936
Sargodha,10041,230,4256,0,2,712,762,229,0,1,1,75867,30825,85,481,0,4,123496
Khushab,1799,24,2385,0,112,602,306,4,0,0,2,28174,11431,8481,109,7744,35,61208
Mianwali,2237,34,66733,0,2068,31,267,6482,2,0,379,13034,3677,453,38,0,1,95436
Bhakkar,752,23,1804,25,2023,58,439,2179,0,0,193,15080,4452,657,132,0,2,27819
Sheikhupura,7716,260,1848,0,588,43,1355,801,12,0,2071,12580,4491,26,0,0,0,31791
Nankana Sahib,2464,76,744,15,848,33,504,555,5,1,297,11462,1642,290,20,7989,6,26951
Kasur,3042,140,1012,1,100,9,1309,4,1,0,34,46982,16756,4454,238,0,65,74147
